City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Geraldton,AU,-28.7667,114.6,63.01,63,75,24.16,broken clouds
317,Mazyr,BY,52.0495,29.2456,48.6,93,100,18.41,overcast clouds
318,Llanes,ES,43.4198,-4.7549,64.69,63,83,4.94,broken clouds
319,Nyaunglebin,MM,17.95,96.7333,75.24,97,100,7.43,overcast clouds
320,Borogontsy,RU,62.6683,131.1683,34.97,72,100,8.81,overcast clouds
321,Tabanan,ID,-8.5413,115.1252,81.0,67,48,8.34,scattered clouds
322,Pandaria,IN,22.2333,81.4167,90.18,52,65,4.03,broken clouds
323,Dingalan,PH,15.3897,121.3929,84.87,76,99,7.65,overcast clouds
324,Srednekolymsk,RU,67.45,153.6833,48.69,40,88,14.43,overcast clouds
325,Tual,ID,-5.6667,132.75,81.99,75,78,3.74,broken clouds
326,Leshukonskoye,RU,64.8989,45.7622,48.74,90,80,5.12,broken clouds
327,Hervey Bay,AU,-25.2986,152.8535,77.02,77,11,5.99,few clouds
328,Norden,DE,53.6,7.2,57.94,68,31,1.01,scattered clouds
329,Laguna,US,38.421,-121.4238,66.4,80,100,16.11,overcast clouds
330,Yulara,AU,-25.2406,130.9889,92.75,10,17,15.1,few clouds
331,Warrington,GB,53.3925,-2.5802,54.99,95,20,3.44,few clouds
332,North Platte,US,41.1239,-100.7654,66.38,92,0,8.99,clear sky
333,Moose Factory,CA,51.2585,-80.6094,48.2,66,20,8.05,few clouds
334,Karaton,ID,-6.3424,106.1045,88.29,55,86,1.45,overcast clouds
335,Acarau,BR,-2.8856,-40.12,77.13,83,44,15.26,scattered clouds
336,Hearst,CA,49.6835,-83.6665,53.85,99,100,7.72,light rain
337,Roebourne,AU,-20.7833,117.1333,87.08,22,0,18.41,clear sky
338,Paamiut,GL,61.994,-49.6678,41.4,92,69,0.96,broken clouds
339,Honiara,SB,-9.4333,159.95,81.27,83,100,7.67,overcast clouds
340,Kedrovyy,RU,56.1667,91.8167,59.41,51,84,10.09,broken clouds
341,Atherton,GB,53.5237,-2.4935,53.89,96,27,2.59,scattered clouds
342,Sawtell,AU,-30.3833,153.1,73.18,53,99,14.97,overcast clouds
343,Tambacounda,SN,13.7539,-13.7586,72.25,96,98,4.27,light rain
